x,y
14.867819,101.718818
14.867894,101.718875
14.868037,101.718961
14.868239,101.719070
14.864104,101.703681
14.864245,101.704279
14.864370,101.704797
14.864994,101.707384
14.865135,101.707964
14.865222,101.708327
14.865903,101.711057
14.866009,101.711481
14.866363,101.712898
14.866721,101.714353
14.867251,101.716508
14.867819,101.718818
14.867925,101.719252
14.868526,101.721724
14.868607,101.722058
14.868840,101.722877
14.869091,101.723827
14.869894,101.727056
14.870015,101.727607
14.870211,101.728645
14.870384,101.729809
14.870389,101.729870
14.870475,101.730951
14.870510,101.732016
14.870491,101.733682
14.870468,101.735012
14.870447,101.737017
14.870423,101.737813
14.870373,101.743766
14.870230,101.751111
14.870227,101.751259
14.870178,101.754622
14.870149,101.756641
14.870107,101.759505
14.870078,101.761737
14.870069,101.762367
14.870047,101.763456
14.870036,101.764185
14.870029,101.764633
14.869968,101.768951
14.869923,101.772177
14.869904,101.773476
14.869860,101.776502
14.869837,101.778090
14.869815,101.779585
14.869781,101.781987
14.869696,101.787800
14.869692,101.788040
14.869647,101.791202
14.869632,101.792173
14.869593,101.794904
14.869557,101.797389
14.869538,101.798674
14.869495,101.802036
14.869497,101.802140
14.869400,101.808179
14.869354,101.811303
14.869338,101.812412
14.869335,101.812615
14.869318,101.813778
14.869289,101.815764
14.869276,101.816668
14.869266,101.817398
14.869232,101.819682
14.869230,101.819837
14.869285,101.821032
14.869249,101.823704
14.869162,101.824512
14.869153,101.825383
14.869150,101.825720
14.869181,101.826569
14.869188,101.826767
14.869191,101.826844
14.869299,101.828008
14.869416,101.828756
14.869482,101.829175
14.869541,101.829414
14.869836,101.830618
14.869872,101.830763
14.870116,101.831527
14.870226,101.831824
14.870278,101.831961
14.870376,101.832223
14.870409,101.832312
14.871740,101.835436
14.871792,101.835541
14.871828,101.835616
14.872617,101.837491
14.872674,101.837625
14.873244,101.838967
14.873344,101.839203
14.874126,101.840863
14.874470,101.841671
14.875568,101.844249
14.875867,101.845080
14.876027,101.845523
14.876669,101.847035
14.877807,101.849717
14.878755,101.851904
14.878792,101.851992
14.879378,101.853414
14.879485,101.853673
14.879633,101.854031
14.879654,101.854086
14.880189,101.855332
14.880771,101.856704
14.881187,101.857684
14.881281,101.857905
14.881388,101.858158
14.881486,101.858387
14.881830,101.859197
14.881953,101.859486
14.882121,101.859881
14.884693,101.865930
14.884951,101.866535
14.885207,101.867151
14.885941,101.868852
14.886057,101.869121
14.886232,101.869547
14.886708,101.870660
14.887170,101.871751
14.887640,101.872882
14.888135,101.874026
14.888350,101.874529
14.889634,101.877563
14.889769,101.877885
14.890094,101.878662
14.890401,101.879376
14.890460,101.879501
14.890608,101.879851
14.892156,101.883505
14.892625,101.884610
14.893341,101.886296
14.894171,101.888248
14.894829,101.889820
14.894903,101.889976
14.895872,101.892251
14.896980,101.894885
14.897070,101.895088
14.899451,101.900707
14.900090,101.902213
14.900125,101.902294
14.902071,101.906880
14.902364,101.907571
14.902958,101.909009
14.869340,101.723020
14.869380,101.723132
14.869558,101.723555
14.870406,101.725482
14.870602,101.725983
14.870977,101.726939
14.871036,101.727039
14.871175,101.727308
14.871586,101.727939
14.871626,101.728061
14.871648,101.728305
14.871784,101.728722
14.871984,101.728994
14.872069,101.729139
14.872117,101.729231
14.872139,101.729291
14.872211,101.729435
14.872467,101.730157
14.872518,101.730317
14.872558,101.730432
14.872647,101.730775
14.872769,101.731159
14.872910,101.731650
14.873128,101.731653
14.873273,101.731663
14.873630,101.731686
14.873866,101.731713
14.873869,101.730768
14.873870,101.730527
14.873891,101.730219
14.874019,101.729724
14.874079,101.729387
14.874195,101.728937
14.874258,101.728716
14.874348,101.728370
14.874438,101.727659
14.874446,101.727603
14.874547,101.726726
14.874555,101.726634
14.874555,101.726052
14.874550,101.725794
14.874538,101.725518
14.874537,101.725495
14.874526,101.725341
14.874519,101.724868
14.874564,101.724487
14.874681,101.724059
14.875278,101.721797
14.875331,101.721611
14.874564,101.724487
14.874489,101.724452
14.874281,101.724315
14.874263,101.724304
14.873708,101.723967
14.873381,101.723807
14.873003,101.723652
14.872664,101.723471
14.872262,101.723350
14.872234,101.723343
14.871562,101.723162
14.871489,101.723147
14.871329,101.723085
14.871272,101.723103
14.870419,101.723170
14.870244,101.723168
14.870089,101.723139
14.869521,101.723049
14.869479,101.723042
14.869340,101.723020
14.868840,101.722877
14.872817,101.735835
14.872900,101.735758
14.872966,101.735680
14.873008,101.735595
14.873024,101.735491
14.873005,101.735351
14.872944,101.735228
14.872665,101.734758
14.871747,101.735406
14.871522,101.735697
14.871141,101.735878
14.870925,101.736350
14.870958,101.737174
14.871423,101.737156
14.871995,101.737174
14.872062,101.737105
14.872087,101.736908
14.872136,101.736616
14.872277,101.736315
14.872443,101.736084
14.872692,101.735869
14.871747,101.735406
14.872468,101.732736
14.872468,101.732625
14.872302,101.732625
14.872194,101.732496
14.872153,101.732316
14.872070,101.732316
14.872062,101.732444
14.871912,101.732582
14.871738,101.732616
14.871738,101.732728
14.871904,101.732736
14.872037,101.732874
14.872062,101.733071
14.871979,101.733157
14.872103,101.733311
14.872228,101.733183
14.872153,101.733080
14.872161,101.732865
14.872277,101.732753
14.872468,101.732736
14.871838,101.733852
14.871813,101.733698
14.871813,101.733560
14.871829,101.733414
14.871854,101.733328
14.871921,101.733328
14.871987,101.733414
14.871987,101.733517
14.871987,101.733672
14.871979,101.733792
14.872078,101.733818
14.872170,101.733818
14.872219,101.733732
14.872219,101.733655
14.872219,101.733586
14.872244,101.733509
14.872336,101.733423
14.872402,101.733397
14.872485,101.733397
14.872559,101.733440
14.872609,101.733526
14.872651,101.733672
14.872634,101.733740
14.872501,101.733740
14.872468,101.733766
14.872402,101.733844
14.872402,101.733955
14.872369,101.734032
14.872277,101.734067
14.872228,101.733947
14.872136,101.733903
